prefecture,url
北海道,http://www.agri.hro.or.jp/boujosho/
青森県,http://www.pref.aomori.lg.jp/soshiki/nourin/byogaichu/index.html
岩手県,https://www.pref.iwate.jp/sangyoukoyou/nougyou/desaki/gaichuu/index.html
宮城県,http://www.pref.miyagi.jp/soshiki/byogai/
秋田県,http://www.pref.akita.lg.jp/www/genre/0000000000000/1000000001021/index.html
山形県,https://agrin.jp/ac/index.html
福島県,http://www.pref.fukushima.lg.jp/sec/37200b/
茨城県,https://www.pref.ibaraki.jp/nourinsuisan/nosose/byobo/boujosidou2/index.html
栃木県,https://www.pref.tochigi.lg.jp/g59/
群馬県,http://www.pref.gunma.jp/07/p14210015.html
埼玉県,http://www.pref.saitama.lg.jp/soshiki/b0916/
千葉県,http://www.pref.chiba.lg.jp/lab-nourin/nourin/boujo/index.html
東京都,https://www.sangyo-rodo.metro.tokyo.lg.jp/nourin/shoku/boujyo
神奈川県,http://www.pref.kanagawa.jp/cnt/f450002/
山梨県,http://www.pref.yamanashi.jp/byogaichu/
長野県,http://www.pref.nagano.lg.jp/bojo/
静岡県,https://www.pref.shizuoka.jp/sangyoshigoto/norinjimusho/1058658/boujo/index.html
新潟県,http://www.pref.niigata.lg.jp/bojo/
富山県,http://taffrc.pref.toyama.jp/nsgc/nougyou/
石川県,http://www.pref.ishikawa.lg.jp/noken/index.html
福井県,https://www.pref.fukui.lg.jp/doc/noushi/kankyo/boujyo.html
岐阜県,https://www.pref.gifu.lg.jp/soshiki/24321/
愛知県,https://www.pref.aichi.jp/site/byogaichu/index.html
三重県,http://www.pref.mie.lg.jp/byogai/hp/index.htm
滋賀県,https://www.pref.shiga.lg.jp/boujyo/
京都府,http://www.pref.kyoto.jp/byogai/
大阪府,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/index.html
兵庫県,http://bojo.hyogo-nourinsuisangc.jp/
奈良県,https://www.pref.nara.jp/1557.htm
和歌山県,https://www.pref.wakayama.lg.jp/prefg/072000/d00216368.html
鳥取県,https://www.pref.tottori.lg.jp/boujosyo/
島根県,https://www.pref.shimane.lg.jp/industry/norin/gijutsu/nougyo_tech/byougaityuu/
岡山県,http://www.pref.okayama.jp/soshiki/239/
広島県,https://www.pref.hiroshima.lg.jp/site/byogaichu/
山口県,https://www.pref.yamaguchi.lg.jp/soshiki/122/22321.html
徳島県,https://www.pref.tokushima.lg.jp/tafftsc/t-boujosho/
香川県,https://www.pref.kagawa.lg.jp/byogaichubojo/index.html
愛媛県,https://www.pref.ehime.jp/site/byocyubojo/index.html
高知県,http://www.nogyo.tosa.pref.kochi.lg.jp/?sid=2016
福岡県,https://www.pref.fukuoka.lg.jp/contents/fukuoka-bouzyosyo.html
佐賀県,http://www.pref.saga.lg.jp/kiji00321899/index.html
長崎県,https://www.pref.nagasaki.jp/e-nourin/nougi/JPP/index.html
熊本県,https://www.pref.kumamoto.jp/soshiki/75/125504.html
大分県,https://www.pref.oita.jp/site/oita-boujosho/
宮崎県,https://hinatamafin.pref.miyazaki.lg.jp/soshiki/noshi_byogai/index.html
鹿児島県,https://www.pref.kagoshima.jp/ag13/kiad/boujosho/index.html
沖縄県,http://www.pref.okinawa.jp/site/norin/byogaichubojo/index.html
