pref,year_label,page_url,total_pdfs,予報_count,注意報_count,警報_count,特殊報_count,その他の防除情報_count,first_issued_date,last_issued_date
大阪府,平成30(2018)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2018yohou.html,13,6,2,0,1,0,,
大阪府,平成29(2017)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2017yohou.html,10,6,1,0,0,0,,
大阪府,平成28(2016)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2016yohou.html,17,6,2,0,1,0,,
大阪府,平成27(2015)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2015yohou.html,14,6,1,0,1,0,,
大阪府,平成26(2014)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2014yohou.html,13,6,2,0,0,0,,
大阪府,平成25(2013)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2013yohou.html,12,6,0,0,0,0,,
大阪府,平成24(2012)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2012yohou.html,18,6,3,0,1,0,,
大阪府,平成23(2011)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2011yohou.html,11,6,1,0,0,0,,
大阪府,平成22(2010)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2010yohou.html,13,6,2,0,1,0,,
大阪府,平成21(2009)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2009yohou.html,16,6,2,0,0,0,,
大阪府,平成20(2008)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2008yohou.html,13,6,1,0,0,0,,
大阪府,令和元(平成31(2019))年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2019yohou.html,19,6,0,0,4,0,,
大阪府,令和6(2024)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2024yohou.html,19,8,6,0,1,4,2024-04-25,2025-03-27
大阪府,令和5(2023)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2023yohou.html,14,8,1,0,2,3,,
大阪府,令和4(2022)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2022yohou.html,22,8,1,0,3,10,,
大阪府,令和3(2021)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2021yohou.html,25,8,3,0,3,11,2021-04-19,2021-09-08
大阪府,令和2(2020)年度へ,https://www.pref.osaka.lg.jp/o120090/nosei/byogaicyu/yohou/2020yohou.html,22,6,1,0,3,12,,
